ts_ms,seq,best_bid,best_ask,bid_size,ask_size
1766187904079,501469166886,88166.0000000000,88166.1000000000,2.0770000000,1.2910000000
1766187906339,501469193448,88190.0000000000,88190.1000000000,2.3100000000,1.0330000000
1766187908739,501469196915,88190.0000000000,88190.1000000000,1.4840000000,0.7780000000
1766187910919,501469202752,88190.0000000000,88190.1000000000,1.4810000000,0.5740000000
1766187913479,501469207013,88190.0000000000,88190.1000000000,1.5070000000,0.5810000000
1766187916699,501469218905,88190.0000000000,88190.1000000000,0.9010000000,1.4110000000
1766187919099,501469240315,88182.1000000000,88182.2000000000,0.4340000000,3.3240000000
1766187921639,501469260350,88173.0000000000,88173.1000000000,0.5130000000,2.0330000000
1766187924299,501469265203,88173.0000000000,88173.1000000000,1.8880000000,0.3530000000
1766187927799,501469268878,88173.0000000000,88173.1000000000,1.7750000000,0.7500000000
